"unitid","institution name","year","EF2016D_RV.Full-time fall 2015 cohort","EF2016D_RV.Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016","EF2016D_RV.Full-time retention rate, 2016","ADM2016_RV.Applicants total","ADM2016_RV.Enrolled total"
"208275","Blue Mountain Community College","2016","169","88","52",,
"208318","Central Oregon Community College","2016","491","287","58",,
"208390","Chemeketa Community College","2016","641","368","57",,
"208406","Clackamas Community College","2016","485","259","53",,
"208415","Clatsop Community College","2016","82","39","48",,
"208646","Eastern Oregon University","2016","311","225","73","1043","352"
"209038","Lane Community College","2016","693","318","46",,
"209074","Linn-Benton Community College","2016","1001","518","52",,
"209250","Mt Hood Community College","2016","700","465","66",,
"209490","Oregon Health & Science University","2016",,,,,
"209506","Oregon Institute of Technology","2016","324","244","75","1239","387"
"209542","Oregon State University","2016","3340","2784","83","14595","3814"
"209551","University of Oregon","2016","4047","3515","87","21821","4041"
"209746","Portland Community College","2016","1559","975","63",,
"209807","Portland State University","2016","1652","1227","74","6373","1797"
"209940","Rogue Community College","2016","341","181","53",,
"210146","Southern Oregon University","2016","776","524","68","2766","675"
"210155","Southwestern Oregon Community College","2016","510","301","59",,
"210234","Treasure Valley Community College","2016","349","182","52",,
"210270","Umpqua Community College","2016","63","25","40",,
"210429","Western Oregon University","2016","911","675","74","2901","806"
"420556","Columbia Gorge Community College","2016","71","39","55",,
"420723","Tillamook Bay Community College","2016","44","14","32",,
"423652","Oregon Coast Community College","2016","40","26","65",,
"428392","Klamath Community College","2016","134","75","56",,
"440828","Oregon State University-Cascades Campus","2016","8","5","63","243","55"
